iso3c,animal,system,product,ingredient,ingredient_demand
AUS,salmon,aquaculture,meat,coconut oil,93.685886
AUS,salmon,aquaculture,meat,corn gluten,655.801202
AUS,salmon,aquaculture,meat,faba beans,3372.691896
AUS,salmon,aquaculture,meat,"fish meal, cut offs",3091.634238
AUS,salmon,aquaculture,meat,"fish meal, forage fish",8244.357968
AUS,salmon,aquaculture,meat,"fish oil, cut offs",1873.71772
AUS,salmon,aquaculture,meat,"fish oil, forage fish",7775.928538
AUS,salmon,aquaculture,meat,guar protein,4028.4930979999995
AUS,salmon,aquaculture,meat,linseed oil,1217.916518
AUS,salmon,aquaculture,meat,micro ingredients,3841.121326
AUS,salmon,aquaculture,meat,other,374.743544
AUS,salmon,aquaculture,meat,pea flour,2342.1471500000002
AUS,salmon,aquaculture,meat,pea protein,1311.602404
AUS,salmon,aquaculture,meat,rapeseed and camelina oil,17238.203024
AUS,salmon,aquaculture,meat,soy protein concentrate,19580.350174
AUS,salmon,aquaculture,meat,soybean oil,374.743544
AUS,salmon,aquaculture,meat,sunflower,3185.3201240000003
AUS,salmon,aquaculture,meat,wheat,6089.58259
AUS,salmon,aquaculture,meat,wheat gluten,9181.216828
CAN,salmon,aquaculture,meat,coconut oil,37.2047
CAN,salmon,aquaculture,meat,corn gluten,260.4329
CAN,salmon,aquaculture,meat,faba beans,1339.3692
CAN,salmon,aquaculture,meat,"fish meal, cut offs",1227.7551000000003
CAN,salmon,aquaculture,meat,"fish meal, forage fish",3274.0136
CAN,salmon,aquaculture,meat,"fish oil, cut offs",744.094
CAN,salmon,aquaculture,meat,"fish oil, forage fish",3087.9901000000004
CAN,salmon,aquaculture,meat,guar protein,1599.8021
CAN,salmon,aquaculture,meat,linseed oil,483.66110000000003
CAN,salmon,aquaculture,meat,micro ingredients,1525.3927000000003
CAN,salmon,aquaculture,meat,other,148.8188
CAN,salmon,aquaculture,meat,pea flour,930.1175000000002
CAN,salmon,aquaculture,meat,pea protein,520.8658
CAN,salmon,aquaculture,meat,rapeseed and camelina oil,6845.6648000000005
CAN,salmon,aquaculture,meat,soy protein concentrate,7775.782300000001
CAN,salmon,aquaculture,meat,soybean oil,148.8188
CAN,salmon,aquaculture,meat,sunflower,1264.9598000000003
CAN,salmon,aquaculture,meat,wheat,2418.3055000000004
CAN,salmon,aquaculture,meat,wheat gluten,3646.0606000000007
CAN,salmon,aquaculture,meat,coconut oil,119.35040000000001
CAN,salmon,aquaculture,meat,corn gluten,835.4528
CAN,salmon,aquaculture,meat,faba beans,4296.6144
CAN,salmon,aquaculture,meat,"fish meal, cut offs",3938.5632000000005
CAN,salmon,aquaculture,meat,"fish meal, forage fish",10502.8352
CAN,salmon,aquaculture,meat,"fish oil, cut offs",2387.0080000000003
CAN,salmon,aquaculture,meat,"fish oil, forage fish",9906.083200000001
CAN,salmon,aquaculture,meat,guar protein,5132.0672
CAN,salmon,aquaculture,meat,linseed oil,1551.5552
CAN,salmon,aquaculture,meat,micro ingredients,4893.366400000001
CAN,salmon,aquaculture,meat,other,477.40160000000003
CAN,salmon,aquaculture,meat,pea flour,2983.76
CAN,salmon,aquaculture,meat,pea protein,1670.9056
CAN,salmon,aquaculture,meat,rapeseed and camelina oil,21960.4736
CAN,salmon,aquaculture,meat,soy protein concentrate,24944.2336
CAN,salmon,aquaculture,meat,soybean oil,477.40160000000003
CAN,salmon,aquaculture,meat,sunflower,4057.9136000000008
CAN,salmon,aquaculture,meat,wheat,7757.776000000001
CAN,salmon,aquaculture,meat,wheat gluten,11696.339200000002
CHL,salmon,aquaculture,meat,coconut oil,0.31639999999999996
CHL,salmon,aquaculture,meat,corn gluten,2.2148
CHL,salmon,aquaculture,meat,faba beans,11.390399999999998
CHL,salmon,aquaculture,meat,"fish meal, cut offs",10.4412
CHL,salmon,aquaculture,meat,"fish meal, forage fish",27.843199999999996
CHL,salmon,aquaculture,meat,"fish oil, cut offs",6.327999999999999
CHL,salmon,aquaculture,meat,"fish oil, forage fish",26.2612
CHL,salmon,aquaculture,meat,guar protein,13.605199999999998
CHL,salmon,aquaculture,meat,linseed oil,4.113199999999999
CHL,salmon,aquaculture,meat,micro ingredients,12.9724
CHL,salmon,aquaculture,meat,other,1.2655999999999998
CHL,salmon,aquaculture,meat,pea flour,7.91
CHL,salmon,aquaculture,meat,pea protein,4.4296
CHL,salmon,aquaculture,meat,rapeseed and camelina oil,58.2176
CHL,salmon,aquaculture,meat,soy protein concentrate,66.12759999999999
CHL,salmon,aquaculture,meat,soybean oil,1.2655999999999998
CHL,salmon,aquaculture,meat,sunflower,10.7576
CHL,salmon,aquaculture,meat,wheat,20.566
CHL,salmon,aquaculture,meat,wheat gluten,31.007199999999997
CHL,salmon,aquaculture,meat,coconut oil,1101.667
CHL,salmon,aquaculture,meat,corn gluten,7711.669
CHL,salmon,aquaculture,meat,faba beans,39660.011999999995
CHL,salmon,aquaculture,meat,"fish meal, cut offs",36355.011
CHL,salmon,aquaculture,meat,"fish meal, forage fish",96946.696
CHL,salmon,aquaculture,meat,"fish oil, cut offs",22033.34
CHL,salmon,aquaculture,meat,"fish oil, forage fish",91438.361
CHL,salmon,aquaculture,meat,guar protein,47371.681
CHL,salmon,aquaculture,meat,linseed oil,14321.670999999998
CHL,salmon,aquaculture,meat,micro ingredients,45168.347
